description
"rumah ini memiliki luas area sebesar 7420 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 13300000"
"rumah ini memiliki luas area sebesar 3500 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 9240000"
"rumah ini memiliki luas area sebesar 7800 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 9240000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 9100000"
"rumah ini memiliki luas area sebesar 6600 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 9100000"
"rumah ini memiliki luas area sebesar 8500 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8960000"
"rumah ini memiliki luas area sebesar 4600 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8890000"
"rumah ini memiliki luas area sebesar 6420 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8855000"
"rumah ini memiliki luas area sebesar 4320 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8750000"
"rumah ini memiliki luas area sebesar 7155 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 8680000"
"rumah ini memiliki luas area sebesar 8050 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8645000"
"rumah ini memiliki luas area sebesar 4560 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8645000"
"rumah ini memiliki luas area sebesar 8800 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8575000"
"rumah ini memiliki luas area sebesar 6540 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8540000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8463000"
"rumah ini memiliki luas area sebesar 8875 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8400000"
"rumah ini memiliki luas area sebesar 7950 meter persegi, 5 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 8400000"
"rumah ini memiliki luas area sebesar 5500 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8400000"
"rumah ini memiliki luas area sebesar 7475 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 8400000"
"rumah ini memiliki luas area sebesar 7000 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 8400000"
"rumah ini memiliki luas area sebesar 4880 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8295000"
"rumah ini memiliki luas area sebesar 5960 meter persegi, 3 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 8190000"
"rumah ini memiliki luas area sebesar 6840 meter persegi, 5 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8120000"
"rumah ini memiliki luas area sebesar 7000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8080940"
"rumah ini memiliki luas area sebesar 7482 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 8043000"
"rumah ini memiliki luas area sebesar 9000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7980000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7962500"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7910000"
"rumah ini memiliki luas area sebesar 6550 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7875000"
"rumah ini memiliki luas area sebesar 6360 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7840000"
"rumah ini memiliki luas area sebesar 6480 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7700000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7700000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7560000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7560000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7525000"
"rumah ini memiliki luas area sebesar 6600 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 3 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7490000"
"rumah ini memiliki luas area sebesar 4300 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7455000"
"rumah ini memiliki luas area sebesar 7440 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7420000"
"rumah ini memiliki luas area sebesar 7440 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7420000"
"rumah ini memiliki luas area sebesar 6325 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7420000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7350000"
"rumah ini memiliki luas area sebesar 5150 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7350000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7350000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 7350000"
"rumah ini memiliki luas area sebesar 11440 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7343000"
"rumah ini memiliki luas area sebesar 9000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7245000"
"rumah ini memiliki luas area sebesar 7680 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7210000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 4 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7210000"
"rumah ini memiliki luas area sebesar 6000 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7140000"
"rumah ini memiliki luas area sebesar 8880 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 7070000"
"rumah ini memiliki luas area sebesar 6240 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7070000"
"rumah ini memiliki luas area sebesar 6360 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7035000"
"rumah ini memiliki luas area sebesar 11175 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 7000000"
"rumah ini memiliki luas area sebesar 8880 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 6930000"
"rumah ini memiliki luas area sebesar 13200 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 6930000"
"rumah ini memiliki luas area sebesar 7700 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 6895000"
